sigla_uf,produto,producao_total,valor_total_producao
CE,Castanha de caju,2617659.0,4215977.9300999995
RN,Castanha de caju,1089153.0,1254318.5699
PI,Castanha de caju,963728.0,1058801.5248999998
BA,Castanha de caju,137463.0,187131.42799999999
PE,Castanha de caju,140478.0,174566.6385
MA,Castanha de caju,173602.0,147785.5732
PB,Castanha de caju,91011.0,73802.122799999983
PA,Castanha de caju,47411.0,47866.0314
AL,Castanha de caju,12302.0,27298.001
RO,Castanha de caju,6343.0,7457.0
MT,Castanha de caju,4543.0,7282.0
TO,Castanha de caju,6948.0,5544.0105
MG,Castanha de caju,580.0,432.0
ES,Castanha de caju,165.0,140.0
AM,Castanha de caju,138.0,21.0
SE,Castanha de caju,164.0,0.5916
CE,Caju,66598988.0,0.0008
PI,Caju,15927153.0,0.00060000000000000006
PA,Caju,172156.0,0.0
RO,Caju,1580.0,0.0
SE,Caju,173919.0,0.0
ES,Caju,1675.0,0.0
SP,Caju,20352.0,0.0
BA,Caju,3826056.0,0.0
MG,Caju,27209.0,0.0
GO,Caju,4943.0,0.0
MS,Caju,16306.0,0.0
MT,Caju,19901.0,0.0
PE,Caju,3317744.0,0.0
RR,Caju,8.0,0.0
MA,Caju,917446.0,0.0
DF,Caju,5882.0,0.0
PB,Caju,2916895.0,0.0
RN,Caju,10754398.0,0.0
AL,Caju,690699.0,0.0
RJ,Caju,277518.0,0.0
AC,Caju,3255.0,0.0
AM,Caju,15847.0,0.0
RS,Caju,,
AC,Castanha de caju,,
AP,Castanha de caju,,
AP,Caju,,
RS,Castanha de caju,,
RJ,Castanha de caju,,
SC,Castanha de caju,,
DF,Castanha de caju,,
RR,Castanha de caju,,
SC,Caju,,
PR,Caju,,
MS,Castanha de caju,,
GO,Castanha de caju,,
PR,Castanha de caju,,
TO,Caju,,
SP,Castanha de caju,,
