ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2024,AC,Caju,,,,
2024,AC,Castanha de caju,,,,
2024,AL,Caju,,,,
2024,AL,Castanha de caju,628,921.0,1444.5625000000002,5193.0
2024,AM,Caju,,,,
2024,AM,Castanha de caju,,,,
2024,AP,Caju,,,,
2024,AP,Castanha de caju,,,,
2024,BA,Caju,,,,
2024,BA,Castanha de caju,15815,3296.0,356.33333333333337,11929.0
2024,CE,Caju,,,,
2024,CE,Castanha de caju,282602,101931.0,316.5214723926382,472053.0
2024,DF,Caju,,,,
2024,DF,Castanha de caju,,,,
2024,ES,Caju,,,,
2024,ES,Castanha de caju,,,,
2024,GO,Caju,,,,
2024,GO,Castanha de caju,,,,
2024,MA,Caju,,,,
2024,MA,Castanha de caju,8146,2893.0,369.99999999999994,8797.0
2024,MG,Caju,,,,
2024,MG,Castanha de caju,,,,
2024,MS,Caju,,,,
2024,MS,Castanha de caju,,,,
2024,MT,Caju,,,,
2024,MT,Castanha de caju,150,88.0,587.0,220.0
2024,PA,Caju,,,,
2024,PA,Castanha de caju,850,601.0,769.30000000000007,1533.0
2024,PB,Caju,,,,
2024,PB,Castanha de caju,2085,488.0,246.88785046728978,1876.0
2024,PE,Caju,,,,
2024,PE,Castanha de caju,2280,3126.0,640.263157894737,9921.0
2024,PI,Caju,,,,
2024,PI,Castanha de caju,75547,25318.0,315.04469273743018,82189.0
2024,PR,Caju,,,,
2024,PR,Castanha de caju,,,,
2024,RJ,Caju,,,,
2024,RJ,Castanha de caju,,,,
2024,RN,Caju,,,,
2024,RN,Castanha de caju,62128,20546.0,401.81739130434784,95664.0
2024,RO,Caju,,,,
2024,RO,Castanha de caju,,,,
2024,RR,Caju,,,,
2024,RR,Castanha de caju,,,,
2024,RS,Caju,,,,
2024,RS,Castanha de caju,,,,
2024,SC,Caju,,,,
2024,SC,Castanha de caju,,,,
2024,SE,Caju,,,,
2024,SE,Castanha de caju,,,,
2024,SP,Caju,,,,
2024,SP,Castanha de caju,,,,
2024,TO,Caju,,,,
2024,TO,Castanha de caju,6,4.0,750.0,6.0
2023,AC,Caju,,,,
2023,AC,Castanha de caju,,,,
2023,AL,Caju,,,,
2023,AL,Castanha de caju,702,824.0,1150.8541666666665,3588.0
2023,AM,Caju,,,,
2023,AM,Castanha de caju,,,,
2023,AP,Caju,,,,
2023,AP,Castanha de caju,,,,
2023,BA,Caju,,,,
2023,BA,Castanha de caju,15779,3389.0,348.05882352941171,13286.0
2023,CE,Caju,,,,
2023,CE,Castanha de caju,279284,63258.0,232.36075949367086,222301.0
2023,DF,Caju,,,,
2023,DF,Castanha de caju,,,,
2023,ES,Caju,,,,
2023,ES,Castanha de caju,,,,
2023,GO,Caju,,,,
2023,GO,Castanha de caju,,,,
2023,MA,Caju,,,,
2023,MA,Castanha de caju,8786,3173.0,375.45360824742272,8896.0
2023,MG,Caju,,,,
2023,MG,Castanha de caju,,,,
2023,MS,Caju,,,,
2023,MS,Castanha de caju,,,,
2023,MT,Caju,,,,
2023,MT,Castanha de caju,150,88.0,587.0,176.0
2023,PA,Caju,,,,
2023,PA,Castanha de caju,1056,718.0,786.5454545454545,1984.0
2023,PB,Caju,,,,
2023,PB,Castanha de caju,2466,591.0,238.08490566037742,2216.0
2023,PE,Caju,,,,
2023,PE,Castanha de caju,2165,2821.0,754.8421052631578,17289.0
2023,PI,Caju,,,,
2023,PI,Castanha de caju,73188,20992.0,286.56571428571408,52139.0
2023,PR,Caju,,,,
2023,PR,Castanha de caju,,,,
2023,RJ,Caju,,,,
2023,RJ,Castanha de caju,,,,
2023,RN,Caju,,,,
2023,RN,Castanha de caju,58309,32072.0,516.42968750000023,131329.0
2023,RO,Caju,,,,
2023,RO,Castanha de caju,,,,
2023,RR,Caju,,,,
2023,RR,Castanha de caju,,,,
2023,RS,Caju,,,,
2023,RS,Castanha de caju,,,,
2023,SC,Caju,,,,
2023,SC,Castanha de caju,,,,
2023,SE,Caju,,,,
2023,SE,Castanha de caju,,,,
2023,SP,Caju,,,,
2023,SP,Castanha de caju,,,,
2023,TO,Caju,,,,
2023,TO,Castanha de caju,7,5.0,800.0,8.0
2022,AC,Caju,,,,
2022,AC,Castanha de caju,,,,
2022,AL,Caju,,,,
2022,AL,Castanha de caju,504,465.0,879.17777777777781,2003.0
2022,AM,Caju,,,,
2022,AM,Castanha de caju,,,,
2022,AP,Caju,,,,
2022,AP,Castanha de caju,,,,
2022,BA,Caju,,,,
2022,BA,Castanha de caju,15522,3251.0,323.54901960784309,14287.0
2022,CE,Caju,,,,
2022,CE,Castanha de caju,272286,95714.0,313.05031446540892,389374.0
2022,DF,Caju,,,,
2022,DF,Castanha de caju,,,,
2022,ES,Caju,,,,
2022,ES,Castanha de caju,,,,
2022,GO,Caju,,,,
2022,GO,Castanha de caju,,,,
2022,MA,Caju,,,,
2022,MA,Castanha de caju,9034,3514.0,375.74747474747488,9904.0
2022,MG,Caju,,,,
2022,MG,Castanha de caju,,,,
2022,MS,Caju,,,,
2022,MS,Castanha de caju,,,,
2022,MT,Caju,,,,
2022,MT,Castanha de caju,150,89.0,593.0,178.0
2022,PA,Caju,,,,
2022,PA,Castanha de caju,1072,754.0,792.66666666666663,2158.0
2022,PB,Caju,,,,
2022,PB,Castanha de caju,2666,644.0,241.40952380952376,2381.0
2022,PE,Caju,,,,
2022,PE,Castanha de caju,2167,2806.0,626.0526315789474,17238.0
2022,PI,Caju,,,,
2022,PI,Castanha de caju,73047,21674.0,298.33142857142872,83621.0
2022,PR,Caju,,,,
2022,PR,Castanha de caju,,,,
2022,RJ,Caju,,,,
2022,RJ,Castanha de caju,,,,
2022,RN,Caju,,,,
2022,RN,Castanha de caju,48375,18268.0,421.44628099173548,68361.0
2022,RO,Caju,,,,
2022,RO,Castanha de caju,,,,
2022,RR,Caju,,,,
2022,RR,Castanha de caju,,,,
2022,RS,Caju,,,,
2022,RS,Castanha de caju,,,,
2022,SC,Caju,,,,
2022,SC,Castanha de caju,,,,
2022,SE,Caju,,,,
2022,SE,Castanha de caju,,,,
2022,SP,Caju,,,,
2022,SP,Castanha de caju,,,,
2022,TO,Caju,,,,
