ano,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2024,Caju,,,,
2024,Castanha de caju,75547,25318.0,315.04469273743018,82189.0
2023,Caju,,,,
2023,Castanha de caju,73188,20992.0,286.56571428571408,52139.0
2022,Caju,,,,
2022,Castanha de caju,73047,21674.0,298.33142857142872,83621.0
2021,Caju,,,,
2021,Castanha de caju,72327,19020.0,279.52906976744197,73076.0
2020,Caju,,,,
2020,Castanha de caju,71132,23155.0,300.40697674418595,64775.0
2019,Caju,,,,
2019,Castanha de caju,69380,21631.0,282.64327485380124,52679.0
2018,Caju,,,,
2018,Castanha de caju,75403,24885.0,317.14054054054037,63391.0
2017,Caju,,,,
2017,Castanha de caju,76376,17100.0,257.010752688172,50471.0
2016,Caju,,,,
2016,Castanha de caju,79219,11189.0,145.20879120879118,34912.0
2015,Caju,,,,
2015,Castanha de caju,87377,12751.0,165.1521739130435,33206.0
2014,Caju,,,,
2014,Castanha de caju,92338,12347.0,182.65934065934064,21475.0
2013,Caju,,,,
2013,Castanha de caju,132439,12863.0,134.949720670391,17922.0
2012,Caju,,,,
2012,Castanha de caju,165410,8923.0,82.810975609756071,10716.0
2011,Caju,,,,
2011,Castanha de caju,171525,45773.0,280.53658536585351,49732.0
2010,Caju,,,,
2010,Castanha de caju,171420,14591.0,121.29468599033814,12079.0
2009,Caju,,,,
2009,Castanha de caju,170545,42963.0,259.32535885167454,34868.0
2008,Caju,,,,
2008,Castanha de caju,179395,56223.0,317.08252427184465,44230.0
2007,Caju,,,,
2007,Castanha de caju,172551,23744.0,158.06030150753762,18569.0
2006,Caju,,,,
2006,Castanha de caju,159389,41853.0,259.86764705882354,39606.0
2005,Caju,,,,
2005,Castanha de caju,161598,24497.0,190.33838383838378,25248.0
2004,Caju,,,,
2004,Castanha de caju,157182,44130.0,287.41116751269021,45534.0
2003,Caju,,,,
2003,Castanha de caju,154717,26662.0,232.26288659793809,24807.0
2002,Caju,,,,
2002,Castanha de caju,141716,16817.0,180.5405405405406,12408.0
2001,Caju,,,,
2001,Castanha de caju,147677,18850.0,181.15934065934061,11760.0
2000,Caju,,,,
2000,Castanha de caju,143607,33395.0,247.51351351351366,26311.0
1999,Caju,,,,
1999,Castanha de caju,142266,32224.0,275.14285714285711,27550.0
1998,Caju,,,,
1998,Castanha de caju,130766,6131.0,92.863095238095255,2652.0
1997,Caju,,,,
1997,Castanha de caju,99130,22145.0,250.89071038251376,6314.0
1996,Caju,,,,
1996,Castanha de caju,92067,24653.0,347.13432835820873,8241.0
1995,Caju,,,,
1995,Castanha de caju,201324,47207.0,272.56153846153842,15601.0
1994,Caju,,,,
1994,Castanha de caju,191109,32780.0,225.203125,11893.0
1993,Caju,,,,
1993,Castanha de caju,233106,29941.0,170.655737704918,805.87200000000007
1992,Caju,,,,
1992,Castanha de caju,213897,25507.0,159.28000000000006,17.7323
1991,Caju,,,,
1991,Castanha de caju,192155,42964.0,283.92079207920807,2.6740999999999997
1990,Caju,,,,
1990,Castanha de caju,167905,23897.0,194.8453608247423,0.23669999999999988
1989,Caju,,,,
1989,Castanha de caju,159519,30117.0,255.0408163265306,0.0087999999999999988
1988,Caju,,,,
1988,Castanha de caju,121052,24816.0,328.2659574468085,0.001
1987,Caju,128664,3613135.0,35977.590361445778,0.0004
1987,Castanha de caju,,,,
1986,Caju,106512,3890232.0,38496.699999999975,0.0002
1986,Castanha de caju,,,,
1985,Caju,78996,2745637.0,39123.408450704213,0.0
1985,Castanha de caju,,,,
1984,Caju,31795,989058.0,41142.553846153845,0.0
1984,Castanha de caju,,,,
1983,Caju,27089,317280.0,21059.258620689656,0.0
1983,Castanha de caju,,,,
1982,Caju,28420,1046387.0,43997.633333333339,0.0
1982,Castanha de caju,,,,
1981,Caju,20746,787391.0,50026.018181818195,0.0
1981,Castanha de caju,,,,
1980,Caju,15575,617939.0,48962.6346153846,0.0
1980,Castanha de caju,,,,
1979,Caju,13479,550840.0,45539.576923076922,0.0
1979,Castanha de caju,,,,
1978,Caju,10786,445903.0,44418.705882352937,0.0
1978,Castanha de caju,,,,
1977,Caju,10488,408513.0,45152.9298245614,0.0
1977,Castanha de caju,,,,
1976,Caju,9351,168169.0,32575.736842105263,0.0
1976,Castanha de caju,,,,
1975,Caju,7321,178417.0,45666.961538461532,0.0
1975,Castanha de caju,,,,
1974,Caju,3716,168252.0,45426.948275862065,0.0
1974,Castanha de caju,,,,
