ano,id_municipio,nome_municipio,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
1974,2200103,Agricolândia,Caju,15,780.0,52000.0,0.0
1974,2200400,Altos,Caju,180,4500.0,25000.0,0.0
1974,2200509,Amarante,Caju,38,1900.0,50000.0,0.0
1974,2200608,Angical do Piauí,Caju,8,400.0,50000.0,0.0
1974,2200905,Aroazes,Caju,12,960.0,80000.0,0.0
1974,2201002,Arraial,Caju,8,400.0,50000.0,0.0
1974,2201200,Barras,Caju,50,4000.0,80000.0,0.0
1974,2201408,Barro Duro,Caju,40,2080.0,52000.0,0.0
1974,2201507,Batalha,Caju,100,6240.0,62400.0,0.0
1974,2201606,Beneditinos,Caju,82,4100.0,50000.0,0.0
1974,2202208,Campo Maior,Caju,79,3697.0,46797.0,0.0
1974,2202406,Capitão de Campos,Caju,12,562.0,46833.0,0.0
1974,2202703,Cocal,Caju,328,24570.0,74909.0,0.0
1974,2202802,Conceição do Canindé,Caju,5,200.0,40000.0,0.0
1974,2203305,Demerval Lobão,Caju,12,360.0,30000.0,0.0
1974,2203404,Dom Expedito Lopes,Caju,20,800.0,40000.0,0.0
1974,2203420,Domingos Mourão,Caju,10,150.0,15000.0,0.0
1974,2203602,Eliseu Martins,Caju,25,1950.0,78000.0,0.0
1974,2203701,Esperantina,Caju,70,4001.0,57157.0,0.0
1974,2203800,Flores do Piauí,Caju,10,320.0,32000.0,0.0
1974,2204105,Francisco Ayres,Caju,3,150.0,50000.0,0.0
1974,2204204,Francisco Santos,Caju,15,600.0,40000.0,0.0
1974,2204600,Hugo Napoleão,Caju,10,520.0,52000.0,0.0
1974,2204709,Inhuma,Caju,45,3600.0,80000.0,0.0
1974,2204808,Ipiranga do Piauí,Caju,28,1820.0,65000.0,0.0
1974,2205003,Itainópolis,Caju,30,1200.0,40000.0,0.0
1974,2205201,Jaicós,Caju,71,2272.0,32000.0,0.0
1974,2205409,Joaquim Pires,Caju,5,390.0,78000.0,0.0
1974,2205508,José de Freitas,Caju,19,1482.0,78000.0,0.0
1974,2205607,Landri Sales,Caju,2,60.0,30000.0,0.0
1974,2205805,Luzilândia,Caju,35,2100.0,60000.0,0.0
1974,2205706,Luís Correia,Caju,180,9000.0,50000.0,0.0
1974,2205904,Manoel Emídio,Caju,2,60.0,30000.0,0.0
1974,2206100,Matias Olímpio,Caju,3,75.0,25000.0,0.0
1974,2206506,Monsenhor Hipólito,Caju,90,3600.0,40000.0,0.0
1974,2206803,Nossa Senhora dos Remédios,Caju,9,258.0,28667.0,0.0
1974,2206902,Novo Oriente do Piauí,Caju,5,100.0,20000.0,0.0
1974,2207009,Oeiras,Caju,100,1000.0,10000.0,0.0
1974,2207504,Palmeirais,Caju,80,4160.0,52000.0,0.0
1974,2207702,Parnaíba,Caju,200,10000.0,50000.0,0.0
1974,2207801,Paulistana,Caju,6,240.0,40000.0,0.0
1974,2207900,Pedro II,Caju,70,1120.0,16000.0,0.0
1974,2208007,Picos,Caju,400,16000.0,40000.0,0.0
1974,2208106,Pimenteiras,Caju,70,1400.0,20000.0,0.0
1974,2208205,Pio IX,Caju,30,1200.0,40000.0,0.0
1974,2208304,Piracuruca,Caju,85,1105.0,13000.0,0.0
1974,2208403,Piripiri,Caju,100,1500.0,15000.0,0.0
1974,2208502,Porto,Caju,15,1200.0,80000.0,0.0
1974,2208809,Regeneração,Caju,39,1950.0,50000.0,0.0
1974,2210805,Simplício Mendes,Caju,7,280.0,40000.0,0.0
1974,2209807,São Gonçalo do Piauí,Caju,12,624.0,52000.0,0.0
1974,2210201,São José do Piauí,Caju,100,3000.0,30000.0,0.0
1974,2210300,São Julião,Caju,30,300.0,10000.0,0.0
1974,2210508,São Pedro do Piauí,Caju,4,208.0,52000.0,0.0
1974,2211001,Teresina,Caju,467,23350.0,50000.0,0.0
1974,2211209,Uruçuí,Caju,14,1092.0,78000.0,0.0
1974,2211308,Valença do Piauí,Caju,130,2600.0,20000.0,0.0
1974,2200202,Água Branca,Caju,101,6666.0,66000.0,0.0
1975,2200103,Agricolândia,Caju,15,1050.0,70000.0,0.0
1975,2200400,Altos,Caju,180,3600.0,20000.0,0.0
1975,2200509,Amarante,Caju,32,2240.0,70000.0,0.0
1975,2200608,Angical do Piauí,Caju,9,630.0,70000.0,0.0
1975,2200905,Aroazes,Caju,10,600.0,60000.0,0.0
