id_municipio,nome_municipio,quantidade_produtos
2208205,Pio IX,2
2200103,Agricolândia,1
2200251,Alagoinha do Piauí,1
2200277,Alegrete do Piauí,1
2200301,Alto Longá,1
2200400,Altos,1
2200459,Alvorada do Gurguéia,1
2200509,Amarante,1
2200608,Angical do Piauí,1
2200806,Antônio Almeida,1
2200707,Anísio de Abreu,1
2200905,Aroazes,1
2200954,Aroeiras do Itaim,1
2201002,Arraial,1
2201051,Assunção do Piauí,1
2201150,Baixa Grande do Ribeiro,1
2201176,Barra D'Alcântara,1
2201200,Barras,1
2201309,Barreiras do Piauí,1
2201408,Barro Duro,1
2201507,Batalha,1
2201556,Bela Vista do Piauí,1
2201572,Belém do Piauí,1
2201606,Beneditinos,1
2201705,Bertolínia,1
2201770,Boa Hora,1
2201804,Bocaina,1
2201903,Bom Jesus,1
2201919,Bom Princípio do Piauí,1
2201929,Bonfim do Piauí,1
2201945,Boqueirão do Piauí,1
2201960,Brasileira,1
2201988,Brejo do Piauí,1
2202000,Buriti dos Lopes,1
2202026,Buriti dos Montes,1
2202059,Cabeceiras do Piauí,1
2202075,Cajazeiras do Piauí,1
2202083,Cajueiro da Praia,1
2202091,Caldeirão Grande do Piauí,1
2202109,Campinas do Piauí,1
2202133,Campo Grande do Piauí,1
2202174,Campo Largo do Piauí,1
2202208,Campo Maior,1
2202251,Canavieira,1
2202307,Canto do Buriti,1
2202455,Capitão Gervásio Oliveira,1
2202406,Capitão de Campos,1
2202505,Caracol,1
2202539,Caraúbas do Piauí,1
2202554,Caridade do Piauí,1
2202604,Castelo do Piauí,1
2202653,Caxingó,1
2202703,Cocal,1
2202711,Cocal de Telha,1
2202729,Cocal dos Alves,1
2202737,Coivaras,1
2202752,Colônia do Gurguéia,1
2202778,Colônia do Piauí,1
2202802,Conceição do Canindé,1
2202851,Coronel José Dias,1
2202901,Corrente,1
2203008,Cristalândia do Piauí,1
2203107,Cristino Castro,1
2203230,Currais,1
2203271,Curral Novo do Piauí,1
2203255,Curralinhos,1
2203305,Demerval Lobão,1
2203354,Dirceu Arcoverde,1
2203404,Dom Expedito Lopes,1
2203420,Domingos Mourão,1
2203503,Elesbão Veloso,1
2203602,Eliseu Martins,1
2203701,Esperantina,1
2203750,Fartura do Piauí,1
2203800,Flores do Piauí,1
2203859,Floresta do Piauí,1
2203909,Floriano,1
2204006,Francinópolis,1
2204105,Francisco Ayres,1
2204154,Francisco Macedo,1
2204204,Francisco Santos,1
2204303,Fronteiras,1
2204352,Geminiano,1
2204402,Gilbués,1
2204501,Guadalupe,1
2204550,Guaribas,1
2204600,Hugo Napoleão,1
2204659,Ilha Grande,1
